# wfmplan input template
# -----------------------
# Required columns: exp_vol, exp_aht, interval_start, interval_end
# Optional override columns: max_occupancy, shrink, asa, sla, st, method
#
# Dates must be ISO format: YYYY-MM-DD HH:MM:SS
# exp_aht is in SECONDS (e.g. 240 = 4 minutes)
# asa is in SECONDS (e.g. 20 = answer within 20 seconds)
# sla is a fraction (e.g. 0.80 = 80%)
# st is in SECONDS (service time target for SLA, e.g. 20)
# shrink is a fraction (e.g. 0.15 = 15% shrinkage)
# max_occupancy is a fraction (e.g. 0.85 = max 85% busy)
#
# Remove the comment lines (#) before importing.
exp_vol,exp_aht,interval_start,interval_end,max_occupancy,shrink
50,240,2024-06-03 08:00:00,2024-06-03 09:00:00,0.85,0.15
80,240,2024-06-03 09:00:00,2024-06-03 10:00:00,0.85,0.15
120,240,2024-06-03 10:00:00,2024-06-03 11:00:00,0.85,0.15
150,240,2024-06-03 11:00:00,2024-06-03 12:00:00,0.85,0.15
130,240,2024-06-03 12:00:00,2024-06-03 13:00:00,0.85,0.15
160,240,2024-06-03 13:00:00,2024-06-03 14:00:00,0.85,0.15
170,240,2024-06-03 14:00:00,2024-06-03 15:00:00,0.85,0.15
180,240,2024-06-03 15:00:00,2024-06-03 16:00:00,0.85,0.15
140,240,2024-06-03 16:00:00,2024-06-03 17:00:00,0.85,0.15
90,240,2024-06-03 17:00:00,2024-06-03 18:00:00,0.85,0.15
60,240,2024-06-03 18:00:00,2024-06-03 19:00:00,0.85,0.15
30,240,2024-06-03 19:00:00,2024-06-03 20:00:00,0.85,0.15
50,240,2024-06-04 08:00:00,2024-06-04 09:00:00,0.85,0.15
85,240,2024-06-04 09:00:00,2024-06-04 10:00:00,0.85,0.15
125,240,2024-06-04 10:00:00,2024-06-04 11:00:00,0.85,0.15
155,240,2024-06-04 11:00:00,2024-06-04 12:00:00,0.85,0.15
135,240,2024-06-04 12:00:00,2024-06-04 13:00:00,0.85,0.15
165,240,2024-06-04 13:00:00,2024-06-04 14:00:00,0.85,0.15
175,240,2024-06-04 14:00:00,2024-06-04 15:00:00,0.85,0.15
185,240,2024-06-04 15:00:00,2024-06-04 16:00:00,0.85,0.15
145,240,2024-06-04 16:00:00,2024-06-04 17:00:00,0.85,0.15
95,240,2024-06-04 17:00:00,2024-06-04 18:00:00,0.85,0.15
65,240,2024-06-04 18:00:00,2024-06-04 19:00:00,0.85,0.15
35,240,2024-06-04 19:00:00,2024-06-04 20:00:00,0.85,0.15
45,240,2024-06-05 08:00:00,2024-06-05 09:00:00,0.85,0.15
75,240,2024-06-05 09:00:00,2024-06-05 10:00:00,0.85,0.15
110,240,2024-06-05 10:00:00,2024-06-05 11:00:00,0.85,0.15
140,240,2024-06-05 11:00:00,2024-06-05 12:00:00,0.85,0.15
120,240,2024-06-05 12:00:00,2024-06-05 13:00:00,0.85,0.15
150,240,2024-06-05 13:00:00,2024-06-05 14:00:00,0.85,0.15
160,240,2024-06-05 14:00:00,2024-06-05 15:00:00,0.85,0.15
170,240,2024-06-05 15:00:00,2024-06-05 16:00:00,0.85,0.15
130,240,2024-06-05 16:00:00,2024-06-05 17:00:00,0.85,0.15
85,240,2024-06-05 17:00:00,2024-06-05 18:00:00,0.85,0.15
55,240,2024-06-05 18:00:00,2024-06-05 19:00:00,0.85,0.15
25,240,2024-06-05 19:00:00,2024-06-05 20:00:00,0.85,0.15
55,240,2024-06-06 08:00:00,2024-06-06 09:00:00,0.85,0.15
90,240,2024-06-06 09:00:00,2024-06-06 10:00:00,0.85,0.15
130,240,2024-06-06 10:00:00,2024-06-06 11:00:00,0.85,0.15
160,240,2024-06-06 11:00:00,2024-06-06 12:00:00,0.85,0.15
140,240,2024-06-06 12:00:00,2024-06-06 13:00:00,0.85,0.15
170,240,2024-06-06 13:00:00,2024-06-06 14:00:00,0.85,0.15
180,240,2024-06-06 14:00:00,2024-06-06 15:00:00,0.85,0.15
190,240,2024-06-06 15:00:00,2024-06-06 16:00:00,0.85,0.15
150,240,2024-06-06 16:00:00,2024-06-06 17:00:00,0.85,0.15
100,240,2024-06-06 17:00:00,2024-06-06 18:00:00,0.85,0.15
70,240,2024-06-06 18:00:00,2024-06-06 19:00:00,0.85,0.15
40,240,2024-06-06 19:00:00,2024-06-06 20:00:00,0.85,0.15
60,240,2024-06-07 08:00:00,2024-06-07 09:00:00,0.85,0.15
95,240,2024-06-07 09:00:00,2024-06-07 10:00:00,0.85,0.15
135,240,2024-06-07 10:00:00,2024-06-07 11:00:00,0.85,0.15
165,240,2024-06-07 11:00:00,2024-06-07 12:00:00,0.85,0.15
145,240,2024-06-07 12:00:00,2024-06-07 13:00:00,0.85,0.15
175,240,2024-06-07 13:00:00,2024-06-07 14:00:00,0.85,0.15
185,240,2024-06-07 14:00:00,2024-06-07 15:00:00,0.85,0.15
195,240,2024-06-07 15:00:00,2024-06-07 16:00:00,0.85,0.15
155,240,2024-06-07 16:00:00,2024-06-07 17:00:00,0.85,0.15
105,240,2024-06-07 17:00:00,2024-06-07 18:00:00,0.85,0.15
75,240,2024-06-07 18:00:00,2024-06-07 19:00:00,0.85,0.15
45,240,2024-06-07 19:00:00,2024-06-07 20:00:00,0.85,0.15
